No.,Source,Src Port,Destination,Dst Port,Protocol,Length,Info
203,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=529649 Win=64240 Len=0
204,192.168.3.205,4444,192.168.3.207,1076,TCP,17574,krb524 > dab-sti-c [ACK] Seq=561769 Ack=1 Win=14600 Len=17520
205,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=532569 Win=64240 Len=0
206,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=535489 Win=64240 Len=0
207,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=538409 Win=64240 Len=0
208,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=541329 Win=64240 Len=0
209,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=544249 Win=64240 Len=0
210,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=547169 Win=64240 Len=0
211,192.168.3.205,4444,192.168.3.207,1076,TCP,2974,krb524 > dab-sti-c [ACK] Seq=579289 Ack=1 Win=14600 Len=2920
212,192.168.3.205,4444,192.168.3.207,1076,TCP,538,"krb524 > dab-sti-c [PSH, ACK] Seq=582209 Ack=1 Win=14600 Len=484"
213,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=550089 Win=64240 Len=0
214,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1 Ack=553009 Win=64240 Len=0
215,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP ACKed lost segment] dab-sti-c > krb524 [ACK] Seq=1 Ack=752133 Win=64160 Len=0
216,192.168.3.207,1076,192.168.3.205,4444,TCP,148,"dab-sti-c > krb524 [PSH, ACK] Seq=1 Ack=752133 Win=64160 Len=94"
217,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=752133 Ack=95 Win=14600 Len=0
218,192.168.3.205,4444,192.168.3.207,1076,TCP,1428,"krb524 > dab-sti-c [PSH, ACK] Seq=752133 Ack=95 Win=14600 Len=1374"
219,192.168.3.207,1076,192.168.3.205,4444,TCP,268,"dab-sti-c > krb524 [PSH, ACK] Seq=95 Ack=753507 Win=62786 Len=214"
220,192.168.3.205,4444,192.168.3.207,1076,TCP,129,"krb524 > dab-sti-c [PSH, ACK] Seq=753507 Ack=309 Win=15544 Len=75"
221,192.168.3.207,1076,192.168.3.205,4444,TCP,144,"dab-sti-c > krb524 [PSH, ACK] Seq=309 Ack=753582 Win=64240 Len=90"
222,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=753582 Ack=399 Win=15544 Len=0
223,192.168.3.205,4444,192.168.3.207,1076,TCP,14654,krb524 > dab-sti-c [ACK] Seq=753582 Ack=399 Win=15544 Len=14600
224,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=756502 Win=64240 Len=0
225,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=759422 Win=64240 Len=0
226,192.168.3.205,4444,192.168.3.207,1076,TCP,8814,krb524 > dab-sti-c [ACK] Seq=768182 Ack=399 Win=15544 Len=8760
227,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=762342 Win=64240 Len=0
228,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=765262 Win=61320 Len=0
229,192.168.3.205,4444,192.168.3.207,1076,TCP,8814,krb524 > dab-sti-c [ACK] Seq=776942 Ack=399 Win=15544 Len=8760
230,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=768182 Win=58400 Len=0
231,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP Window Update] dab-sti-c > krb524 [ACK] Seq=399 Ack=768182 Win=64240 Len=0
232,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=771102 Win=64240 Len=0
233,192.168.3.205,4444,192.168.3.207,1076,TCP,8814,krb524 > dab-sti-c [ACK] Seq=785702 Ack=399 Win=15544 Len=8760
234,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=774022 Win=64240 Len=0
235,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=776942 Win=64240 Len=0
236,192.168.3.205,4444,192.168.3.207,1076,TCP,5894,krb524 > dab-sti-c [ACK] Seq=794462 Ack=399 Win=15544 Len=5840
237,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=779862 Win=62780 Len=0
238,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=782782 Win=59860 Len=0
239,192.168.3.205,4444,192.168.3.207,1076,TCP,11734,krb524 > dab-sti-c [ACK] Seq=800302 Ack=399 Win=15544 Len=11680
240,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=785702 Win=56940 Len=0
241,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP Window Update] dab-sti-c > krb524 [ACK] Seq=399 Ack=785702 Win=64240 Len=0
242,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=788622 Win=64240 Len=0
243,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=791542 Win=64240 Len=0
244,192.168.3.205,4444,192.168.3.207,1076,TCP,13194,krb524 > dab-sti-c [ACK] Seq=811982 Ack=399 Win=15544 Len=13140
245,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=794462 Win=64240 Len=0
246,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=797382 Win=62780 Len=0
247,192.168.3.205,4444,192.168.3.207,1076,TCP,7354,krb524 > dab-sti-c [ACK] Seq=825122 Ack=399 Win=15544 Len=7300
248,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=800302 Win=59860 Len=0
249,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=803222 Win=56940 Len=0
250,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=806142 Win=54020 Len=0
251,192.168.3.205,4444,192.168.3.207,1076,TCP,14654,krb524 > dab-sti-c [ACK] Seq=832422 Ack=399 Win=15544 Len=14600
252,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=809062 Win=51100 Len=0
253,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=811982 Win=48180 Len=0
254,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=847022 Win=29200 Len=0
255,192.168.3.205,4444,192.168.3.207,1076,TCP,17574,krb524 > dab-sti-c [ACK] Seq=847022 Ack=399 Win=15544 Len=17520
256,192.168.3.205,4444,192.168.3.207,1076,TCP,11734,[TCP Window Full] krb524 > dab-sti-c [ACK] Seq=864542 Ack=399 Win=15544 Len=11680
257,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP Dup ACK 254#1] dab-sti-c > krb524 [ACK] Seq=399 Ack=847022 Win=29200 Len=0
258,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=849942 Win=26280 Len=0
259,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=852862 Win=23360 Len=0
260,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=855782 Win=20440 Len=0
261,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=858702 Win=17520 Len=0
262,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=861622 Win=14600 Len=0
263,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=864542 Win=11680 Len=0
264,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=867462 Win=8760 Len=0
265,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=870382 Win=5840 Len=0
266,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=873302 Win=2920 Len=0
267,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP ZeroWindow] dab-sti-c > krb524 [ACK] Seq=399 Ack=876222 Win=0 Len=0
268,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP Window Update] dab-sti-c > krb524 [ACK] Seq=399 Ack=876222 Win=35040 Len=0
269,192.168.3.205,4444,192.168.3.207,1076,TCP,20494,krb524 > dab-sti-c [ACK] Seq=876222 Ack=399 Win=15544 Len=20440
270,192.168.3.205,4444,192.168.3.207,1076,TCP,13194,krb524 > dab-sti-c [ACK] Seq=896662 Ack=399 Win=15544 Len=13140
271,192.168.3.205,4444,192.168.3.207,1076,TCP,236,"krb524 > dab-sti-c [PSH, ACK] Seq=909802 Ack=399 Win=15544 Len=182"
272,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=879142 Win=32120 Len=0
273,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=882062 Win=29200 Len=0
274,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=884982 Win=26280 Len=0
275,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=887902 Win=23360 Len=0
276,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=890822 Win=20440 Len=0
277,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=893742 Win=17520 Len=0
278,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=896662 Win=14600 Len=0
279,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=899582 Win=11680 Len=0
280,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=902502 Win=8760 Len=0
281,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=905422 Win=5840 Len=0
282,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=908342 Win=2920 Len=0
283,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=399 Ack=909984 Win=1278 Len=0
284,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP Window Update] dab-sti-c > krb524 [ACK] Seq=399 Ack=909984 Win=30478 Len=0
285,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP Window Update] dab-sti-c > krb524 [ACK] Seq=399 Ack=909984 Win=64240 Len=0
286,192.168.3.207,1076,192.168.3.205,4444,TCP,128,"dab-sti-c > krb524 [PSH, ACK] Seq=399 Ack=909984 Win=64240 Len=74"
287,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=909984 Ack=473 Win=15544 Len=0
288,192.168.3.207,1076,192.168.3.205,4444,TCP,192,"dab-sti-c > krb524 [PSH, ACK] Seq=473 Ack=909984 Win=64240 Len=138"
289,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=909984 Ack=611 Win=16616 Len=0
290,192.168.3.205,4444,192.168.3.207,1076,TCP,171,"krb524 > dab-sti-c [PSH, ACK] Seq=909984 Ack=611 Win=16616 Len=117"
291,192.168.3.207,1076,192.168.3.205,4444,TCP,128,"dab-sti-c > krb524 [PSH, ACK] Seq=611 Ack=910101 Win=64123 Len=74"
292,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=910101 Ack=685 Win=16616 Len=0
293,192.168.3.207,1076,192.168.3.205,4444,TCP,240,"dab-sti-c > krb524 [PSH, ACK] Seq=685 Ack=910101 Win=64123 Len=186"
294,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=910101 Ack=871 Win=17688 Len=0
295,192.168.3.205,4444,192.168.3.207,1076,TCP,171,"krb524 > dab-sti-c [PSH, ACK] Seq=910101 Ack=871 Win=17688 Len=117"
296,192.168.3.207,1076,192.168.3.205,4444,TCP,128,"dab-sti-c > krb524 [PSH, ACK] Seq=871 Ack=910218 Win=64006 Len=74"
297,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=910218 Ack=945 Win=17688 Len=0
298,192.168.3.207,1076,192.168.3.205,4444,TCP,288,"dab-sti-c > krb524 [PSH, ACK] Seq=945 Ack=910218 Win=64006 Len=234"
299,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=910218 Ack=1179 Win=18760 Len=0
300,192.168.3.205,4444,192.168.3.207,1076,TCP,14654,krb524 > dab-sti-c [ACK] Seq=910218 Ack=1179 Win=18760 Len=14600
301,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=913138 Win=64240 Len=0
302,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=916058 Win=64240 Len=0
303,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=918978 Win=64240 Len=0
304,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=921898 Win=61320 Len=0
305,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=924818 Win=58400 Len=0
306,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP Window Update] dab-sti-c > krb524 [ACK] Seq=1179 Ack=924818 Win=64240 Len=0
307,192.168.3.205,4444,192.168.3.207,1076,TCP,8814,krb524 > dab-sti-c [ACK] Seq=924818 Ack=1179 Win=18760 Len=8760
308,192.168.3.205,4444,192.168.3.207,1076,TCP,8814,krb524 > dab-sti-c [ACK] Seq=933578 Ack=1179 Win=18760 Len=8760
309,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=927738 Win=64240 Len=0
310,192.168.3.205,4444,192.168.3.207,1076,TCP,776,"krb524 > dab-sti-c [PSH, ACK] Seq=942338 Ack=1179 Win=18760 Len=722"
311,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=930658 Win=64240 Len=0
312,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=933578 Win=64240 Len=0
313,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=936498 Win=62780 Len=0
314,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=939418 Win=59860 Len=0
315,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=942338 Win=56940 Len=0
316,192.168.3.205,4444,192.168.3.207,1076,TCP,11734,krb524 > dab-sti-c [ACK] Seq=943060 Ack=1179 Win=18760 Len=11680
317,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=944520 Win=54758 Len=0
318,192.168.3.205,4444,192.168.3.207,1076,TCP,1275,"krb524 > dab-sti-c [PSH, ACK] Seq=954740 Ack=1179 Win=18760 Len=1221"
319,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=947440 Win=51838 Len=0
320,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=950360 Win=48918 Len=0
321,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=953280 Win=45998 Len=0
322,192.168.3.207,1076,192.168.3.205,4444,TCP,60,dab-sti-c > krb524 [ACK] Seq=1179 Ack=955961 Win=43317 Len=0
323,192.168.3.207,1076,192.168.3.205,4444,TCP,60,[TCP Window Update] dab-sti-c > krb524 [ACK] Seq=1179 Ack=955961 Win=64240 Len=0
324,192.168.3.207,1076,192.168.3.205,4444,TCP,128,"dab-sti-c > krb524 [PSH, ACK] Seq=1179 Ack=955961 Win=64240 Len=74"
325,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=955961 Ack=1253 Win=18760 Len=0
326,192.168.3.207,1076,192.168.3.205,4444,TCP,192,"dab-sti-c > krb524 [PSH, ACK] Seq=1253 Ack=955961 Win=64240 Len=138"
327,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=955961 Ack=1391 Win=19832 Len=0
328,192.168.3.205,4444,192.168.3.207,1076,TCP,Fixed-171,"krb524 > dab-sti-c [PSH, ACK] Seq=955961 Ack=1391 Win=19832 Len=117"
329,192.168.3.207,1076,192.168.3.205,4444,TCP,Fixed-128,"dab-sti-c > krb524 [PSH, ACK] Seq=1391 Ack=956078 Win=64123 Len=74"
330,192.168.3.205,4444,192.168.3.207,1076,TCP,Fixed-54,krb524 > dab-sti-c [ACK] Seq=956078 Ack=1465 Win=19832 Len=0
331,192.168.3.207,1076,192.168.3.205,4444,TCP,Var-560,"dab-sti-c > krb524 [PSH, ACK] Seq=1465 Ack=956078 Win=64123 Len=506"
332,192.168.3.205,4444,192.168.3.207,1076,TCP,Fixed-54,krb524 > dab-sti-c [ACK] Seq=956078 Ack=1971 Win=20904 Len=0
333,192.168.3.205,4444,192.168.3.207,1076,TCP,171,"krb524 > dab-sti-c [PSH, ACK] Seq=956078 Ack=1971 Win=20904 Len=117"
334,192.168.3.207,1076,192.168.3.205,4444,TCP,128,"dab-sti-c > krb524 [PSH, ACK] Seq=1971 Ack=956195 Win=64006 Len=74"
335,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=956195 Ack=2045 Win=20904 Len=0
336,192.168.3.207,1076,192.168.3.205,4444,TCP,560,"dab-sti-c > krb524 [PSH, ACK] Seq=2045 Ack=956195 Win=64006 Len=506"
337,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=956195 Ack=2551 Win=21976 Len=0
338,192.168.3.205,4444,192.168.3.207,1076,TCP,171,"krb524 > dab-sti-c [PSH, ACK] Seq=956195 Ack=2551 Win=21976 Len=117"
339,192.168.3.207,1076,192.168.3.205,4444,TCP,128,"dab-sti-c > krb524 [PSH, ACK] Seq=2551 Ack=956312 Win=63889 Len=74"
340,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=956312 Ack=2625 Win=21976 Len=0
341,192.168.3.207,1076,192.168.3.205,4444,TCP,560,"dab-sti-c > krb524 [PSH, ACK] Seq=2625 Ack=956312 Win=63889 Len=506"
342,192.168.3.205,4444,192.168.3.207,1076,TCP,54,krb524 > dab-sti-c [ACK] Seq=956312 Ack=3131 Win=23048 Len=0
