No.,Source,Src Port,Destination,Dst Port,Protocol,Length,Info
51,192.168.3.205,55845,192.168.3.207,445,SMB,129,"Read AndX Request, FID: 0x4002, 718 bytes at offset 932"
52,192.168.3.207,445,192.168.3.205,55845,DCERPC,205,Bind_ack: call_id: 0 Fragment: Single accept max_xmit: 4280 max_recv: 4280
53,192.168.3.205,55845,192.168.3.207,445,SRVSVC,189,NetRemoteTOD request
54,192.168.3.207,445,192.168.3.205,55845,SMB,117,"Write AndX Response, FID: 0x4002, 56 bytes"
55,192.168.3.205,55845,192.168.3.207,445,SMB,129,"Read AndX Request, FID: 0x4002, 585 bytes at offset 424"
56,192.168.3.207,445,192.168.3.205,55845,SRVSVC,210,NetRemoteTOD response
57,192.168.3.205,55845,192.168.3.207,445,SMB,162,"NT Create AndX Request, FID: 0x4003, Path: \\SPOOLSS"
58,192.168.3.207,445,192.168.3.205,55845,SMB,205,"NT Create AndX Response, FID: 0x4003"
59,192.168.3.205,55845,192.168.3.207,445,DCERPC,689,"Bind: call_id: 0 Fragment: Single, 12 context items, 1st 734208c9-0ce4-41bd-0cd0-9abd0619c095 V0.1"
60,192.168.3.207,445,192.168.3.205,55845,SMB,117,"Write AndX Response, FID: 0x4003, 556 bytes"
61,192.168.3.205,55845,192.168.3.207,445,SMB,129,"Read AndX Request, FID: 0x4003, 541 bytes at offset 681"
62,192.168.3.207,445,192.168.3.205,55845,DCERPC,462,Bind_ack: call_id: 0 Fragment: Single accept max_xmit: 4280 max_recv: 4280
63,192.168.3.205,55845,192.168.3.207,445,SPOOLSS,181,"EnumPrinters request, level 1"
64,192.168.3.207,445,192.168.3.205,55845,SMB,117,"Write AndX Response, FID: 0x4003, 48 bytes"
65,192.168.3.205,55845,192.168.3.207,445,SMB,129,"Read AndX Request, FID: 0x4003, 740 bytes at offset 542"
66,192.168.3.207,445,192.168.3.205,55845,SPOOLSS,174,"EnumPrinters response, level 1[Malformed Packet]"
67,192.168.3.205,55845,192.168.3.207,445,SMB,162,"NT Create AndX Request, FID: 0x4004, Path: \\SPOOLSS"
68,192.168.3.207,445,192.168.3.205,55845,SMB,205,"NT Create AndX Response, FID: 0x4004"
69,192.168.3.205,55845,192.168.3.207,445,SMB,625,"Write AndX Request, FID: 0x4004, 492 bytes at offset 171"
70,192.168.3.207,445,192.168.3.205,55845,SMB,117,"Write AndX Response, FID: 0x4004, 492 bytes"
71,192.168.3.205,55845,192.168.3.207,445,DCERPC,197,"Bind: call_id: 0 Fragment: Single, 12 context items, 1st 3c4a6a22-8dd8-4ca6-2bc4-c71ec47b5089 V4.0"
72,192.168.3.207,445,192.168.3.205,55845,SMB,117,"Write AndX Response, FID: 0x4004, 64 bytes"
73,192.168.3.205,55845,192.168.3.207,445,SMB,129,"Read AndX Request, FID: 0x4004, 663 bytes at offset 521"
74,192.168.3.207,445,192.168.3.205,55845,DCERPC,462,Bind_ack: call_id: 0 Fragment: Single accept max_xmit: 4280 max_recv: 4280
75,192.168.3.205,55845,192.168.3.207,445,SMB,514,"Write AndX Request, FID: 0x4004, 381 bytes at offset 31"
76,192.168.3.207,445,192.168.3.205,55845,SMB,117,"Write AndX Response, FID: 0x4004, 381 bytes"
77,192.168.3.205,55845,192.168.3.207,445,SPOOLSS,316,"EnumPrinters request, level 1"
78,192.168.3.207,445,192.168.3.205,55845,SMB,117,"Write AndX Response, FID: 0x4004, 183 bytes"
79,192.168.3.205,55845,192.168.3.207,445,SMB,129,"Read AndX Request, FID: 0x4004, 678 bytes at offset 242"
80,192.168.3.207,445,192.168.3.205,55845,SPOOLSS,690,"EnumPrinters response, level 1"
81,192.168.3.205,55845,192.168.3.207,445,SMB,162,"NT Create AndX Request, FID: 0x4005, Path: \\BROWSER"
82,192.168.3.207,445,192.168.3.205,55845,SMB,205,"NT Create AndX Response, FID: 0x4005"
83,192.168.3.205,55845,192.168.3.207,445,DCERPC,645,"Bind: call_id: 0 Fragment: Single, 11 context items, 1st 1aefe566-39c8-a2bd-1510-19ec4f2281d0 V3.1"
84,192.168.3.207,445,192.168.3.205,55845,SMB,117,"Write AndX Response, FID: 0x4005, 512 bytes"
85,192.168.3.205,55845,192.168.3.207,445,SMB,129,"Read AndX Request, FID: 0x4005, 476 bytes at offset 609"
86,192.168.3.207,445,192.168.3.205,55845,DCERPC,438,Bind_ack: call_id: 0 Fragment: Single accept max_xmit: 4280 max_recv: 4280
87,192.168.3.205,55845,192.168.3.207,445,SMB,490,"Write AndX Request, FID: 0x4005, 357 bytes at offset 330"
88,192.168.3.207,445,192.168.3.205,55845,SMB,117,"Write AndX Response, FID: 0x4005, 357 bytes"
89,192.168.3.205,55845,192.168.3.207,445,TCP,66,55845 > microsoft-ds [ACK] Seq=7347 Ack=9821 Win=57632 Len=0 TSval=25102586 TSecr=672324
90,192.168.3.205,55845,192.168.3.207,445,SRVSVC,480,NetPathCanonicalize request
91,192.168.3.207,445,192.168.3.205,55845,SMB,117,"Write AndX Response, FID: 0x4005, 347 bytes"
92,192.168.3.205,55845,192.168.3.207,445,TCP,66,55845 > microsoft-ds [ACK] Seq=7761 Ack=9872 Win=57632 Len=0 TSval=25102620 TSecr=672326
