PID	Date	Src	SrcPort	Dest	DestPort	caplen	len	hex
19	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	733	733	000c29b3354c000c29957b740800450002cfd48440004006dab7c0a803cdc0a803cfda2501bde94ee140ce9cf4178018045a8bae00000101080a017f08ad000a424100000297ff534d422f000000001801280000000000000000000000000008d74a0108bc880eff0000000140fb000000ffffffff08005802000058023f0000000000580205000b03100000005802000000000000d016d016000000000d000000000001002fc33d89c1b2c30fa2fa14192234569603000300045d888aeb1cc9119fe808002b1048600200000001000100b8f32e54ea9f2e933dfe30d730543e4004000100045d888aeb1cc9119fe808002b1048600200000002000100248c246065b8ce905b1158d2f57a593105000300045d888aeb1cc9119fe808002b1048600200000003000100da78f2e0163bb6b4a97505b91aaf73a004000200045d888aeb1cc9119fe808002b10486002000000040001003f21a9596dad944623271e9c0fc9522d02000100045d888aeb1cc9119fe808002b1048600200000005000100e096ec5c2525e5b3283eaa05f3f683b804000100045d888aeb1cc9119fe808002b1048600200000006000100ac51f5ccc31136fbd684786b193c12ca01000200045d888aeb1cc9119fe808002b10486002000000070001003e30407be61c47b53fa032dbd958da6104000000045d888aeb1cc9119fe808002b1048600200000008000100d13864d9e7bed71807cb44094aec6baa03000000045d888aeb1cc9119fe808002b1048600200000009000100cce29a1210427cfd018a42391df4258403000100045d888aeb1cc9119fe808002b104860020000000a00010091684724e3340aed9cc6aae1fd4de53501000300045d888aeb1cc9119fe808002b104860020000000b000100025d563c2e7b6ec10db8963f12ebfcdb04000000045d888aeb1cc9119fe808002b104860020000000c000100c84f324b7016d30112785a47bf6ee18803000000045d888aeb1cc9119fe808002b10486002000000
20	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	117	117	000c29957b74000c29b3354c08004500006709c44000800667e0c0a803cfc0a803cd01bdda25ce9cf417e94ee3db8018faf01e7c00000101080a000a4241017f08ad0000002fff534d422f000000009801280000000000000000000000000008d74a0108bc8806ff002f005802ffff000000000000
21	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	129	129	000c29b3354c000c29957b74080045000073d48540004006dd12c0a803cdc0a803cfda2501bde94ee3dbce9cf44a8018045a895200000101080a017f08af000a42410000003bff534d422e000000001801280000000000000000000000000008d74a0108bc880aff0000000140d3030000f303f303ffffffff0000000000000000
22	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	486	486	000c29957b74000c29b3354c0800450001d809c540008006666ec0a803cfc0a803cd01bdda25ce9cf44ae94ee41a8018fab1eb9e00000101080a000a4241017f08af000001a0ff534d422e000000009801280000000000000000000000000008d74a0108bc880cff00000000000000000064013c000000000000000000000065010005000c03100000006401000000000000b810b810f56500000e005c504950455c62726f77736572000d00000002000100000000000000000000000000000000000000000002000100000000000000000000000000000000000000000002000100000000000000000000000000000000000000000002000100000000000000000000000000000000000000000002000100000000000000000000000000000000000000000002000100000000000000000000000000000000000000000002000100000000000000000000000000000000000000000002000100000000000000000000000000000000000000000002000100000000000000000000000000000000000000000002000100000000000000000000000000000000000000000002000100000000000000000000000000000000000000000002000100000000000000000000000000000000000000000000000000045d888aeb1cc9119fe808002b10486002000000
23	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	233	233	000c29b3354c000c29957b740800450000dbd48640004006dca9c0a803cdc0a803cfda2501bde94ee41ace9cf5ee8018049d89ba00000101080a017f08b0000a4241000000a3ff534d422f000000001801280000000000000000000000000008d74a0108bc880eff0000000140ee010000ffffffff08006400000064003f00000000006400050000031000000064000000000000004c0000000c00220047a0fc980b000000000000000b000000430052004a0069004e0076006c00780072007600000000000600000000000000060000004c00610066006f004400000001fa00000000000000000000
24	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	117	117	000c29957b74000c29b3354c08004500006709c64000800667dec0a803cfc0a803cd01bdda25ce9cf5eee94ee4c18018fa0a1e9600000101080a000a4241017f08b00000002fff534d422f000000009801280000000000000000000000000008d74a0108bc8806ff002f006400ffff000000000000
25	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	129	129	000c29b3354c000c29957b74080045000073d48740004006dd10c0a803cdc0a803cfda2501bde94ee4c1ce9cf6218018049d895200000101080a017f08b1000a42410000003bff534d422e000000001801280000000000000000000000000008d74a0108bc880aff0000000140f5010000fa01fa01ffffffff0000000000000000
26	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	636	636	000c29957b74000c29b3354c08004500026e09c74000800665d6c0a803cfc0a803cd01bdda25ce9cf621e94ee5008018f9cba67000000101080a000a4241017f08b100000236ff534d422e050000809801680000000000000000000000000008d74a0108bc880cff000000000000000000fa013c0000000000000000000000fb01000500020110000000b8100000000000000cf401000c00000001fa000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
27	Tue May 15 03:16:12 EDT 2012	192.168.3.205	55845	192.168.3.207	445	129	129	000c29b3354c000c29957b74080045000073d48840004006dd0fc0a803cdc0a803cfda2501bde94ee500ce9cf85b801804e4895200000101080a017f08b7000a42410000003bff534d422e000000001801280000000000000000000000000008d74a0108bc880aff00000001400302000013021302ffffffff0000000000000000
28	Tue May 15 03:16:12 EDT 2012	192.168.3.207	445	192.168.3.205	55845	661	661	000c29957b74000c29b3354c08004500028709c84000800665bcc0a803cfc0a803cd01bdda25ce9cf85be94ee53f8018f98c8ecc00000101080a000a4241017f08b70000024fff534d422e050000809801680000000000000000000000000008d74a0108bc880cff00000000000000000013023c0000000000000000000000140200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
